timestamp,open,low,high,close,OPENPOSITIONVALUE,VALUE,VOLUME,open_interest,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES
2023-02-17,79482.0,78542.0,79500.0,79042.0,81994640.0,950549.0,12.0,1040,78841.0,0.0,79212.0,-1.29,1.0,12
2023-02-20,78644.0,77999.0,79533.0,79497.0,82994868.0,2452344.0,31.0,1044,79497.0,0.0,79108.0,0.58,1.0,15
2023-02-21,79744.0,77902.0,79744.0,77902.0,82658058.0,551528.0,7.0,1046,79023.0,0.0,78790.0,-2.01,1.0,7
2023-02-22,79965.0,79900.0,80897.0,79900.0,83895000.0,481154.0,6.0,1050,79900.0,0.0,80192.0,2.56,1.0,6
2023-02-24,80112.0,79766.0,80600.0,80361.0,83450010.0,801645.0,10.0,1038,80395.0,0.0,80165.0,0.58,1.0,10
2023-02-27,80374.0,79000.0,80811.0,79000.0,81528000.0,875807.0,11.0,1032,79000.0,0.0,79619.0,-1.69,1.0,10
2023-02-28,78981.0,78624.0,79269.0,79269.0,81805608.0,394724.0,5.0,1032,79269.0,0.0,78945.0,0.34,1.0,5
2023-03-01,79042.0,79042.0,79548.0,79548.0,82093536.0,158590.0,2.0,1032,79548.0,0.0,79295.0,0.35,1.0,2
2023-03-02,79601.0,79601.0,80200.0,79880.0,82436160.0,1279190.0,16.0,1032,79880.0,0.0,79949.0,0.42,5.0,9
2023-03-03,79969.0,79925.0,79969.0,79925.0,82681742.0,319744.0,4.0,1034,79963.0,0.0,79936.0,0.06,1.0,3
2023-03-06,79901.0,79840.0,80230.0,80031.0,83232240.0,1438276.0,18.0,1040,80031.0,0.0,79904.0,0.13,1.0,11
2023-03-07,79603.0,79603.0,80698.0,80698.0,85217088.0,880823.0,11.0,1056,80698.0,0.0,80075.0,0.83,2.0,9
2023-03-09,80969.0,80479.0,81147.0,80479.0,86434446.0,2020773.0,25.0,1074,80479.0,0.0,80831.0,-0.27,1.0,17
2023-03-10,80599.0,80093.0,80642.0,80093.0,87679724.0,1045394.0,13.0,1094,80146.0,0.0,80415.0,-0.48,1.0,9
2023-03-13,80223.0,79649.0,80353.0,79649.0,87454602.0,2394934.0,30.0,1098,79649.0,0.0,79831.0,-0.55,1.0,22
2023-03-14,79432.0,79351.0,79626.0,79447.0,86915018.0,1509715.0,19.0,1094,79447.0,0.0,79459.0,-0.25,1.0,17
2023-03-15,79310.0,79310.0,84000.0,80052.0,89658240.0,4921646.0,61.0,1120,80052.0,0.0,80683.0,0.76,2.0,39
2023-03-16,80654.0,80001.0,81160.0,81002.0,91046248.0,2094918.0,26.0,1124,81002.0,0.0,80574.0,1.19,1.0,21
2023-03-17,80813.0,79671.0,80862.0,80079.0,94653378.0,3529317.0,44.0,1182,80079.0,0.0,80212.0,-1.14,1.0,39
2023-03-20,80393.0,79671.0,80689.0,80220.0,96103560.0,3201888.0,40.0,1198,80220.0,0.0,80047.0,0.18,1.0,33
2023-03-21,80000.0,79772.0,80058.0,80000.0,96161202.0,879888.0,11.0,1202,80001.0,0.0,79990.0,-0.27,1.0,6
2023-03-22,80134.0,80134.0,80410.0,80410.0,100512500.0,2733356.0,34.0,1250,80410.0,0.0,80393.0,0.51,1.0,11
2023-03-23,80413.0,79500.0,80413.0,79500.0,99534000.0,1276264.0,16.0,1252,79500.0,0.0,79767.0,-1.13,1.0,13
2023-03-24,79762.0,79762.0,80443.0,80443.0,100714636.0,722090.0,9.0,1252,80443.0,0.0,80232.0,1.19,1.0,9
2023-03-27,80172.0,80172.0,80199.0,80199.0,100409148.0,160371.0,2.0,1252,80199.0,0.0,80186.0,-0.3,1.0,2
2023-03-28,79811.0,79811.0,80418.0,80221.0,100918018.0,802303.0,10.0,1258,80221.0,0.0,80230.0,0.03,2.0,8
2023-03-29,80429.0,80429.0,80429.0,80429.0,101179682.0,80429.0,1.0,1258,80429.0,0.0,80429.0,0.26,1.0,1
2023-03-30,80835.0,80574.0,80835.0,80574.0,101362092.0,242137.0,3.0,1258,80574.0,0.0,80712.0,0.18,1.0,3
2023-03-31,80629.0,80629.0,80977.0,80977.0,101908800.0,323084.0,4.0,1260,80880.0,0.0,80771.0,0.5,1.0,4
2023-04-03,80949.0,80345.0,82550.0,81115.0,103369812.0,2599996.0,32.0,1274,81138.0,0.0,81250.0,0.17,1.0,25
2023-04-04,81400.0,80573.0,81911.0,80573.0,103017860.0,975569.0,12.0,1276,80735.0,0.0,81297.0,-0.67,1.0,11
2023-04-05,,,,,103367484.0,,,1276,81009.0,0.0,,,,0
2023-04-06,80795.0,80297.0,82897.0,81702.0,104885460.0,3107025.0,38.0,1278,82070.0,0.0,81764.0,,1.0,31
2023-04-07,82100.0,80249.0,83444.0,81517.0,103371164.0,7978451.0,97.0,1268,81523.0,0.0,82252.0,-0.23,1.0,72
2023-04-10,82799.0,81804.0,83500.0,82299.0,104025936.0,2224681.0,27.0,1264,82299.0,0.0,82396.0,0.96,1.0,23
2023-04-11,82719.0,82591.0,83300.0,82865.0,104080952.0,1659080.0,20.0,1256,82867.0,0.0,82954.0,0.69,1.0,16
2023-04-12,83478.0,81100.0,83487.0,81934.0,102581368.0,2220541.0,27.0,1252,81934.0,0.0,82242.0,-1.12,1.0,21
2023-04-13,81822.0,81347.0,81822.0,81347.0,101846444.0,163169.0,2.0,1252,81347.0,0.0,81585.0,-0.72,1.0,2
2023-04-14,81347.0,81347.0,82100.0,81476.0,102333856.0,571713.0,7.0,1256,81476.0,0.0,81673.0,0.16,1.0,7
2023-04-17,81696.0,80992.0,82180.0,81011.0,102397904.0,1220469.0,15.0,1264,81011.0,0.0,81365.0,-0.57,1.0,15
2023-04-18,81014.0,81011.0,81899.0,81101.0,102863766.0,1139552.0,14.0,1266,81251.0,0.0,81397.0,0.11,1.0,12
2023-04-19,81983.0,81236.0,81984.0,81748.0,103165976.0,1061492.0,13.0,1262,81748.0,0.0,81653.0,0.8,1.0,12
2023-04-20,81501.0,81331.0,81501.0,81331.0,102965046.0,651832.0,8.0,1266,81331.0,0.0,81479.0,-0.51,1.0,6
2023-04-21,81737.0,81333.0,81737.0,81333.0,103131512.0,407707.0,5.0,1268,81334.0,0.0,81541.0,0.0,1.0,5
2023-04-24,81071.0,80892.0,83735.0,81101.0,105106896.0,9561400.0,117.0,1296,81101.0,0.0,81721.0,-0.29,1.0,78
2023-04-25,81092.0,80778.0,81540.0,81028.0,105336400.0,1136305.0,14.0,1300,81028.0,0.0,81165.0,-0.09,1.0,13
